Date,Donor Country,Aid Type,Value (USD),Description,Source
2022-02-24,UK,Financial,17140183,Aid package for Ukraine,Simulated
2022-02-25,Canada,Financial,23905493,Aid package for Ukraine,Simulated
2022-02-26,Germany,Humanitarian,1878707,Aid package for Ukraine,Simulated
2022-02-27,France,Humanitarian,46918790,Aid package for Ukraine,Simulated
2022-02-28,Canada,Humanitarian,34791451,Aid package for Ukraine,Simulated
2022-03-01,Germany,Military,79110584,Aid package for Ukraine,Simulated
2022-03-02,UK,Military,39581233,Aid package for Ukraine,Simulated
2022-03-03,Germany,Financial,2401466,Aid package for Ukraine,Simulated
2022-03-04,Canada,Financial,81706587,Aid package for Ukraine,Simulated
2022-03-05,France,Humanitarian,15477773,Aid package for Ukraine,Simulated
2022-03-06,Canada,Financial,28935990,Aid package for Ukraine,Simulated
2022-03-07,Germany,Military,63129566,Aid package for Ukraine,Simulated
2022-03-08,Germany,Financial,49127818,Aid package for Ukraine,Simulated
2022-03-09,UK,Humanitarian,38877089,Aid package for Ukraine,Simulated
2022-03-10,Canada,Military,21338790,Aid package for Ukraine,Simulated
2022-03-11,UK,Humanitarian,19894598,Aid package for Ukraine,Simulated
2022-03-12,Canada,Military,2064482,Aid package for Ukraine,Simulated
2022-03-13,France,Military,2195710,Aid package for Ukraine,Simulated
2022-03-14,USA,Financial,36496029,Aid package for Ukraine,Simulated
2022-03-15,USA,Military,13129066,Aid package for Ukraine,Simulated
2022-03-16,UK,Financial,35292717,Aid package for Ukraine,Simulated
2022-03-17,Canada,Financial,40712335,Aid package for Ukraine,Simulated
2022-03-18,Canada,Financial,28890725,Aid package for Ukraine,Simulated
2022-03-19,France,Military,3259730,Aid package for Ukraine,Simulated
2022-03-20,UK,Financial,55110732,Aid package for Ukraine,Simulated
2022-03-21,France,Financial,40890505,Aid package for Ukraine,Simulated
2022-03-22,Canada,Financial,85958057,Aid package for Ukraine,Simulated
2022-03-23,UK,Humanitarian,95696927,Aid package for Ukraine,Simulated
2022-03-24,UK,Military,11487415,Aid package for Ukraine,Simulated
2022-03-25,USA,Financial,36474613,Aid package for Ukraine,Simulated
2022-03-26,UK,Military,34102953,Aid package for Ukraine,Simulated
2022-03-27,UK,Humanitarian,6104098,Aid package for Ukraine,Simulated
2022-03-28,France,Military,37156111,Aid package for Ukraine,Simulated
2022-03-29,Canada,Financial,88798287,Aid package for Ukraine,Simulated
2022-03-30,UK,Financial,24344015,Aid package for Ukraine,Simulated
2022-03-31,Germany,Military,67779240,Aid package for Ukraine,Simulated
2022-04-01,France,Military,3662887,Aid package for Ukraine,Simulated
2022-04-02,UK,Military,44184593,Aid package for Ukraine,Simulated
2022-04-03,Germany,Financial,97474969,Aid package for Ukraine,Simulated
2022-04-04,USA,Humanitarian,84128122,Aid package for Ukraine,Simulated
2022-04-05,Germany,Military,20332512,Aid package for Ukraine,Simulated
2022-04-06,Canada,Humanitarian,65111344,Aid package for Ukraine,Simulated
2022-04-07,UK,Humanitarian,56874002,Aid package for Ukraine,Simulated
2022-04-08,Canada,Humanitarian,77273709,Aid package for Ukraine,Simulated
2022-04-09,UK,Financial,82677985,Aid package for Ukraine,Simulated
2022-04-10,Germany,Financial,80260989,Aid package for Ukraine,Simulated
2022-04-11,USA,Military,71769104,Aid package for Ukraine,Simulated
2022-04-12,UK,Humanitarian,11892981,Aid package for Ukraine,Simulated
2022-04-13,France,Military,85888586,Aid package for Ukraine,Simulated
2022-04-14,UK,Financial,15896195,Aid package for Ukraine,Simulated
2022-04-15,France,Military,7831014,Aid package for Ukraine,Simulated
2022-04-16,France,Financial,90668069,Aid package for Ukraine,Simulated
2022-04-17,Germany,Military,35049447,Aid package for Ukraine,Simulated
2022-04-18,Germany,Humanitarian,3099868,Aid package for Ukraine,Simulated
2022-04-19,France,Military,51384650,Aid package for Ukraine,Simulated
2022-04-20,USA,Military,62176628,Aid package for Ukraine,Simulated
2022-04-21,Canada,Humanitarian,1062917,Aid package for Ukraine,Simulated
2022-04-22,Canada,Military,53908350,Aid package for Ukraine,Simulated
2022-04-23,Canada,Financial,68770576,Aid package for Ukraine,Simulated
2022-04-24,Canada,Humanitarian,64041208,Aid package for Ukraine,Simulated
2022-04-25,France,Humanitarian,17478380,Aid package for Ukraine,Simulated
2022-04-26,France,Humanitarian,91001463,Aid package for Ukraine,Simulated
2022-04-27,Germany,Military,45263469,Aid package for Ukraine,Simulated
2022-04-28,USA,Humanitarian,80092467,Aid package for Ukraine,Simulated
2022-04-29,USA,Military,64910923,Aid package for Ukraine,Simulated
2022-04-30,UK,Military,17688041,Aid package for Ukraine,Simulated
2022-05-01,France,Financial,28218964,Aid package for Ukraine,Simulated
2022-05-02,USA,Humanitarian,81649029,Aid package for Ukraine,Simulated
2022-05-03,France,Humanitarian,24650923,Aid package for Ukraine,Simulated
2022-05-04,Germany,Humanitarian,45171064,Aid package for Ukraine,Simulated
2022-05-05,France,Financial,68373954,Aid package for Ukraine,Simulated
2022-05-06,UK,Financial,25985617,Aid package for Ukraine,Simulated
2022-05-07,Canada,Military,31761044,Aid package for Ukraine,Simulated
2022-05-08,Canada,Military,75862502,Aid package for Ukraine,Simulated
2022-05-09,France,Financial,21219869,Aid package for Ukraine,Simulated
2022-05-10,UK,Humanitarian,83095525,Aid package for Ukraine,Simulated
2022-05-11,UK,Humanitarian,36069850,Aid package for Ukraine,Simulated
2022-05-12,USA,Military,88735139,Aid package for Ukraine,Simulated
2022-05-13,USA,Military,58990337,Aid package for Ukraine,Simulated
2022-05-14,UK,Humanitarian,2335163,Aid package for Ukraine,Simulated
2022-05-15,USA,Military,2036452,Aid package for Ukraine,Simulated
2022-05-16,Germany,Military,81779719,Aid package for Ukraine,Simulated
2022-05-17,Canada,Humanitarian,13629124,Aid package for Ukraine,Simulated
2022-05-18,Germany,Military,99852969,Aid package for Ukraine,Simulated
2022-05-19,Germany,Military,98325589,Aid package for Ukraine,Simulated
2022-05-20,UK,Military,82169898,Aid package for Ukraine,Simulated
2022-05-21,Germany,Military,83945699,Aid package for Ukraine,Simulated
2022-05-22,Germany,Financial,83053288,Aid package for Ukraine,Simulated
2022-05-23,France,Financial,38254563,Aid package for Ukraine,Simulated
2022-05-24,France,Financial,4760020,Aid package for Ukraine,Simulated
2022-05-25,France,Humanitarian,92058564,Aid package for Ukraine,Simulated
2022-05-26,USA,Financial,66162269,Aid package for Ukraine,Simulated
2022-05-27,Germany,Military,19804238,Aid package for Ukraine,Simulated
2022-05-28,Canada,Financial,25526462,Aid package for Ukraine,Simulated
2022-05-29,Germany,Humanitarian,30775745,Aid package for Ukraine,Simulated
2022-05-30,Germany,Humanitarian,48850319,Aid package for Ukraine,Simulated
2022-05-31,USA,Military,56614128,Aid package for Ukraine,Simulated
2022-06-01,Germany,Financial,11741763,Aid package for Ukraine,Simulated
2022-06-02,Germany,Military,60755117,Aid package for Ukraine,Simulated
2022-06-03,Germany,Financial,83705127,Aid package for Ukraine,Simulated
2022-06-04,USA,Financial,37348683,Aid package for Ukraine,Simulated
2022-06-05,UK,Humanitarian,98214950,Aid package for Ukraine,Simulated
2022-06-06,USA,Financial,45556673,Aid package for Ukraine,Simulated
2022-06-07,Canada,Military,63043016,Aid package for Ukraine,Simulated
2022-06-08,USA,Financial,58063909,Aid package for Ukraine,Simulated
2022-06-09,USA,Military,89402778,Aid package for Ukraine,Simulated
2022-06-10,USA,Humanitarian,62321353,Aid package for Ukraine,Simulated
2022-06-11,France,Humanitarian,84154456,Aid package for Ukraine,Simulated
2022-06-12,Germany,Military,93313215,Aid package for Ukraine,Simulated
2022-06-13,UK,Financial,11713255,Aid package for Ukraine,Simulated
2022-06-14,UK,Financial,76383022,Aid package for Ukraine,Simulated
2022-06-15,UK,Military,53516015,Aid package for Ukraine,Simulated
2022-06-16,Germany,Military,42370879,Aid package for Ukraine,Simulated
2022-06-17,Canada,Financial,69429529,Aid package for Ukraine,Simulated
2022-06-18,France,Financial,51540239,Aid package for Ukraine,Simulated
2022-06-19,Canada,Humanitarian,24589454,Aid package for Ukraine,Simulated
2022-06-20,Canada,Financial,26700236,Aid package for Ukraine,Simulated
2022-06-21,Canada,Financial,68486171,Aid package for Ukraine,Simulated
2022-06-22,Canada,Financial,71977979,Aid package for Ukraine,Simulated
2022-06-23,Canada,Humanitarian,9590716,Aid package for Ukraine,Simulated
2022-06-24,Canada,Humanitarian,74162827,Aid package for Ukraine,Simulated
2022-06-25,USA,Financial,69389845,Aid package for Ukraine,Simulated
2022-06-26,USA,Financial,37120269,Aid package for Ukraine,Simulated
2022-06-27,Canada,Financial,52585904,Aid package for Ukraine,Simulated
2022-06-28,USA,Financial,92335057,Aid package for Ukraine,Simulated
2022-06-29,UK,Military,57715989,Aid package for Ukraine,Simulated
2022-06-30,Germany,Military,55970067,Aid package for Ukraine,Simulated
2022-07-01,USA,Humanitarian,77747310,Aid package for Ukraine,Simulated
2022-07-02,Germany,Military,13064307,Aid package for Ukraine,Simulated
2022-07-03,France,Financial,20097076,Aid package for Ukraine,Simulated
2022-07-04,USA,Military,33901877,Aid package for Ukraine,Simulated
2022-07-05,Canada,Financial,92964244,Aid package for Ukraine,Simulated
2022-07-06,France,Military,34612122,Aid package for Ukraine,Simulated
2022-07-07,France,Military,35855691,Aid package for Ukraine,Simulated
2022-07-08,France,Humanitarian,18565192,Aid package for Ukraine,Simulated
2022-07-09,Germany,Military,38315200,Aid package for Ukraine,Simulated
2022-07-10,Canada,Financial,89997893,Aid package for Ukraine,Simulated
2022-07-11,Canada,Military,32736979,Aid package for Ukraine,Simulated
2022-07-12,Germany,Humanitarian,92514448,Aid package for Ukraine,Simulated
2022-07-13,France,Financial,80720691,Aid package for Ukraine,Simulated
2022-07-14,USA,Humanitarian,57058822,Aid package for Ukraine,Simulated
2022-07-15,Canada,Military,29516097,Aid package for Ukraine,Simulated
2022-07-16,France,Humanitarian,48098572,Aid package for Ukraine,Simulated
2022-07-17,Germany,Financial,50434285,Aid package for Ukraine,Simulated
2022-07-18,UK,Humanitarian,19152791,Aid package for Ukraine,Simulated
2022-07-19,USA,Financial,95426033,Aid package for Ukraine,Simulated
2022-07-20,UK,Financial,82372875,Aid package for Ukraine,Simulated
2022-07-21,UK,Military,26286172,Aid package for Ukraine,Simulated
2022-07-22,USA,Humanitarian,31743207,Aid package for Ukraine,Simulated
2022-07-23,USA,Humanitarian,89557896,Aid package for Ukraine,Simulated
2022-07-24,Canada,Military,39368211,Aid package for Ukraine,Simulated
2022-07-25,Canada,Financial,97202450,Aid package for Ukraine,Simulated
