Date,Host Country,Refugees In,Refugees Out,Internally Displaced Persons (IDPs),Source
2022-02-24,Poland,357,112,5948,Simulated
2022-02-24,Germany,364,409,9849,Simulated
2022-02-24,Romania,636,493,5329,Simulated
2022-02-24,Moldova,364,326,3124,Simulated
2022-02-25,Poland,835,248,5512,Simulated
2022-02-25,Germany,753,301,5111,Simulated
2022-02-25,Romania,586,121,5283,Simulated
2022-02-25,Moldova,359,449,6199,Simulated
2022-02-26,Poland,261,497,3603,Simulated
2022-02-26,Germany,454,358,1446,Simulated
2022-02-26,Romania,631,347,701,Simulated
2022-02-26,Moldova,906,385,4483,Simulated
2022-02-27,Poland,454,272,6133,Simulated
2022-02-27,Germany,240,498,2968,Simulated
2022-02-27,Romania,361,54,9344,Simulated
2022-02-27,Moldova,791,297,3567,Simulated
2022-02-28,Poland,431,125,6367,Simulated
2022-02-28,Germany,447,205,2870,Simulated
2022-02-28,Romania,351,233,8470,Simulated
2022-02-28,Moldova,653,276,3022,Simulated
2022-03-01,Poland,687,381,6255,Simulated
2022-03-01,Germany,386,314,668,Simulated
2022-03-01,Romania,880,235,374,Simulated
2022-03-01,Moldova,383,457,4123,Simulated
2022-03-02,Poland,391,175,849,Simulated
2022-03-02,Germany,390,311,794,Simulated
2022-03-02,Romania,148,287,2763,Simulated
2022-03-02,Moldova,887,21,8956,Simulated
2022-03-03,Poland,236,126,7851,Simulated
2022-03-03,Germany,262,345,5941,Simulated
2022-03-03,Romania,285,400,4454,Simulated
2022-03-03,Moldova,432,194,3578,Simulated
2022-03-04,Poland,241,500,4347,Simulated
2022-03-04,Germany,188,9,8366,Simulated
2022-03-04,Romania,672,171,7837,Simulated
2022-03-04,Moldova,973,487,1507,Simulated
2022-03-05,Poland,780,235,7508,Simulated
2022-03-05,Germany,548,307,108,Simulated
2022-03-05,Romania,695,92,9056,Simulated
2022-03-05,Moldova,854,25,1951,Simulated
2022-03-06,Poland,487,225,7916,Simulated
2022-03-06,Germany,500,296,5818,Simulated
2022-03-06,Romania,549,319,3666,Simulated
2022-03-06,Moldova,839,453,7746,Simulated
2022-03-07,Poland,702,254,2858,Simulated
2022-03-07,Germany,458,175,3880,Simulated
2022-03-07,Romania,282,246,6359,Simulated
2022-03-07,Moldova,733,222,2834,Simulated
2022-03-08,Poland,450,36,5237,Simulated
2022-03-08,Germany,138,334,4837,Simulated
2022-03-08,Romania,535,318,2350,Simulated
2022-03-08,Moldova,522,276,5224,Simulated
2022-03-09,Poland,252,476,1760,Simulated
2022-03-09,Germany,808,79,9948,Simulated
2022-03-09,Romania,797,403,2041,Simulated
2022-03-09,Moldova,724,203,3478,Simulated
2022-03-10,Poland,612,6,5489,Simulated
2022-03-10,Germany,317,54,8036,Simulated
2022-03-10,Romania,989,6,2173,Simulated
2022-03-10,Moldova,170,155,8053,Simulated
2022-03-11,Poland,838,13,7042,Simulated
2022-03-11,Germany,935,41,3213,Simulated
2022-03-11,Romania,969,431,7160,Simulated
2022-03-11,Moldova,879,197,2662,Simulated
2022-03-12,Poland,123,489,6746,Simulated
2022-03-12,Germany,117,74,3005,Simulated
2022-03-12,Romania,261,23,3975,Simulated
2022-03-12,Moldova,207,438,394,Simulated
2022-03-13,Poland,999,185,4221,Simulated
2022-03-13,Germany,990,36,4613,Simulated
2022-03-13,Romania,431,246,6463,Simulated
2022-03-13,Moldova,107,240,3004,Simulated
2022-03-14,Poland,776,309,5580,Simulated
2022-03-14,Germany,929,206,9165,Simulated
2022-03-14,Romania,486,365,8947,Simulated
2022-03-14,Moldova,908,14,4204,Simulated
2022-03-15,Poland,503,421,7392,Simulated
2022-03-15,Germany,544,233,3799,Simulated
2022-03-15,Romania,769,359,3406,Simulated
2022-03-15,Moldova,226,486,1359,Simulated
2022-03-16,Poland,984,38,7979,Simulated
2022-03-16,Germany,406,426,3054,Simulated
2022-03-16,Romania,483,267,1601,Simulated
2022-03-16,Moldova,505,279,1034,Simulated
2022-03-17,Poland,735,288,8819,Simulated
2022-03-17,Germany,377,141,7270,Simulated
2022-03-17,Romania,455,97,1662,Simulated
2022-03-17,Moldova,319,396,5576,Simulated
2022-03-18,Poland,313,116,8500,Simulated
2022-03-18,Germany,970,66,9700,Simulated
2022-03-18,Romania,945,425,1318,Simulated
2022-03-18,Moldova,865,496,8158,Simulated
2022-03-19,Poland,443,189,756,Simulated
