Date,Issuing Country,Sanction Type,Target Country,Description,Source
2022-02-24,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-02-25,EU,Trade,Russia,New sanctions imposed,Simulated
2022-02-26,USA,Trade,Russia,New sanctions imposed,Simulated
2022-02-27,USA,Trade,Russia,New sanctions imposed,Simulated
2022-02-28,UK,Trade,Russia,New sanctions imposed,Simulated
2022-03-01,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-03-03,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-04,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-05,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-07,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-08,USA,Financial,Russia,New sanctions imposed,Simulated
2022-03-09,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-10,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-11,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-13,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-16,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-17,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-19,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-20,UK,Trade,Russia,New sanctions imposed,Simulated
2022-03-21,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-22,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-23,UK,Financial,Russia,New sanctions imposed,Simulated
2022-03-24,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-25,USA,Financial,Russia,New sanctions imposed,Simulated
2022-03-26,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-27,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-29,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-31,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-01,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-03,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-04,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-06,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-08,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-10,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-11,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-12,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-14,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-15,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-16,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-17,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-18,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-19,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-20,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-21,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-22,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-23,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-24,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-25,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-26,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-27,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-28,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-29,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-30,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-01,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-03,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-04,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-05,UK,Trade,Russia,New sanctions imposed,Simulated
2022-05-06,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-08,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-09,UK,Trade,Russia,New sanctions imposed,Simulated
2022-05-10,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-11,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-14,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-15,USA,Trade,Russia,New sanctions imposed,Simulated
2022-05-16,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-17,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-18,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-19,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-20,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-21,USA,Trade,Russia,New sanctions imposed,Simulated
2022-05-22,USA,Financial,Russia,New sanctions imposed,Simulated
2022-05-23,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-24,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-26,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-27,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-28,USA,Financial,Russia,New sanctions imposed,Simulated
2022-05-29,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-31,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-01,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-06-03,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-04,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-05,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-07,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-10,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-11,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-06-14,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-15,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-16,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-17,UK,Financial,Russia,New sanctions imposed,Simulated
2022-06-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-19,UK,Trade,Russia,New sanctions imposed,Simulated
